title,imdbId,tmdbId
Toy Story (1995),114709,862.0
Jumanji (1995),113497,8844.0
Grumpier Old Men (1995),113228,15602.0
Waiting to Exhale (1995),114885,31357.0
Father of the Bride Part II (1995),113041,11862.0
Heat (1995),113277,949.0
Sabrina (1995),114319,11860.0
Tom and Huck (1995),112302,45325.0
Sudden Death (1995),114576,9091.0
GoldenEye (1995),113189,710.0
"American President, The (1995)",112346,9087.0
Dracula: Dead and Loving It (1995),112896,12110.0
Balto (1995),112453,21032.0
Nixon (1995),113987,10858.0
Cutthroat Island (1995),112760,1408.0
Casino (1995),112641,524.0
Sense and Sensibility (1995),114388,4584.0
Four Rooms (1995),113101,5.0
Ace Ventura: When Nature Calls (1995),112281,9273.0
Money Train (1995),113845,11517.0
Get Shorty (1995),113161,8012.0
Copycat (1995),112722,1710.0
Assassins (1995),112401,9691.0
Powder (1995),114168,12665.0
Leaving Las Vegas (1995),113627,451.0
Othello (1995),114057,16420.0
Now and Then (1995),114011,9263.0
Persuasion (1995),114117,17015.0
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",112682,902.0
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),115012,37557.0
Dangerous Minds (1995),112792,9909.0
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),114746,63.0
Babe (1995),112431,9598.0
Dead Man Walking (1995),112818,687.0
It Takes Two (1995),113442,33689.0
Clueless (1995),112697,9603.0
"Cry, the Beloved Country (1995)",112749,34615.0
Richard III (1995),114279,31174.0
Dead Presidents (1995),112819,11443.0
Restoration (1995),114272,35196.0
Mortal Kombat (1995),113855,9312.0
To Die For (1995),114681,577.0
How to Make an American Quilt (1995),113347,11861.0
Seven (a.k.a. Se7en) (1995),114369,807.0
Pocahontas (1995),114148,10530.0
When Night Is Falling (1995),114916,8391.0
"Usual Suspects, The (1995)",114814,629.0
Mighty Aphrodite (1995),113819,11448.0
Lamerica (1994),110299,49133.0
"Big Green, The (1995)",112499,26441.0
Georgia (1995),113158,97406.0
Home for the Holidays (1995),113321,9089.0
"Postman, The (Postino, Il) (1994)",110877,11010.0
"Indian in the Cupboard, The (1995)",113419,11359.0
Eye for an Eye (1996),116260,17182.0
Mr. Holland's Opus (1995),113862,2054.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),116126,10607.0
Two if by Sea (1996),118002,19760.0
Bio-Dome (1996),115683,9536.0
Lawnmower Man 2: Beyond Cyberspace (1996),116839,11525.0
French Twist (Gazon maudit) (1995),113149,4482.0
Friday (1995),113118,10634.0
From Dusk Till Dawn (1996),116367,755.0
Fair Game (1995),113010,11859.0
Kicking and Screaming (1995),113537,28387.0
"Misérables, Les (1995)",113828,48750.0
Bed of Roses (1996),115644,20927.0
Big Bully (1996),115676,36929.0
Screamers (1995),114367,9102.0
Nico Icon (1995),113973,124626.0
"Crossing Guard, The (1995)",112744,27526.0
"Juror, The (1996)",116731,9623.0
"White Balloon, The (Badkonake sefid) (1995)",112445,46785.0
Things to Do in Denver When You're Dead (1995),114660,400.0
Antonia's Line (Antonia) (1995),112379,880.0
Once Upon a Time... When We Were Colored (1995),114039,146599.0
Angels and Insects (1995),112365,8447.0
White Squall (1996),118158,10534.0
Dunston Checks In (1996),116151,17414.0
Black Sheep (1996),115697,13997.0
Nick of Time (1995),113972,2086.0
Mary Reilly (1996),117002,9095.0
Vampire in Brooklyn (1995),114825,12158.0
Beautiful Girls (1996),115639,9283.0
Broken Arrow (1996),115759,9208.0
In the Bleak Midwinter (1995),113403,40154.0
"Hate (Haine, La) (1995)",113247,406.0
Heidi Fleiss: Hollywood Madam (1995),113283,63076.0
City Hall (1996),115907,11062.0
Bottle Rocket (1996),115734,13685.0
Mr. Wrong (1996),117102,47475.0
Unforgettable (1996),118040,2045.0
Happy Gilmore (1996),116483,9614.0
"Bridges of Madison County, The (1995)",112579,688.0
Nobody Loves Me (Keiner liebt mich) (1994),110251,11907.0
Muppet Treasure Island (1996),117110,10874.0
Catwalk (1996),112646,89333.0
Braveheart (1995),112573,197.0
Taxi Driver (1976),75314,103.0
Rumble in the Bronx (Hont faan kui) (1995),113326,33542.0
Before and After (1996),115645,43566.0
Anne Frank Remembered (1995),112373,51352.0
"Young Poisoner's Handbook, The (1995)",115033,16934.0
If Lucy Fell (1996),116606,10324.0
"Steal Big, Steal Little (1995)",114536,78406.0
"Boys of St. Vincent, The (1992)",106473,32119.0
Boomerang (1992),103859,11066.0
Chungking Express (Chung Hing sam lam) (1994),109424,11104.0
Flirting With Disaster (1996),116324,2074.0
"NeverEnding Story III, The (1994)",110647,27793.0
Jupiter's Wife (1994),110217,290157.0
Pie in the Sky (1996),114131,110972.0
Jade (1995),113451,11863.0
Down Periscope (1996),116130,9101.0
Man of the Year (1995),113756,5757.0
Up Close and Personal (1996),118055,9302.0
"Birdcage, The (1996)",115685,11000.0
"Brothers McMullen, The (1995)",112585,16388.0
Bad Boys (1995),112442,9737.0
"Amazing Panda Adventure, The (1995)",112342,30765.0
"Basketball Diaries, The (1995)",112461,10474.0
"Awfully Big Adventure, An (1995)",112427,22279.0
Amateur (1994),109093,30157.0
Apollo 13 (1995),112384,568.0
Rob Roy (1995),114287,11780.0
"Addiction, The (1995)",112288,34996.0
Batman Forever (1995),112462,414.0
Beauty of the Day (Belle de jour) (1967),61395,649.0
Beyond Rangoon (1995),112495,1873.0
Blue in the Face (1995),112541,5894.0
Canadian Bacon (1995),109370,1775.0
Casper (1995),112642,8839.0
Clockers (1995),112688,20649.0
Congo (1995),112715,10329.0
Crimson Tide (1995),112740,8963.0
Crumb (1994),109508,26564.0
Desperado (1995),112851,8068.0
Devil in a Blue Dress (1995),112857,8512.0
Die Hard: With a Vengeance (1995),112864,1572.0
"Doom Generation, The (1995)",112887,13552.0
First Knight (1995),113071,6520.0
Free Willy 2: The Adventure Home (1995),113114,9073.0
Hackers (1995),113243,10428.0
Jeffrey (1995),113464,17447.0
Johnny Mnemonic (1995),113481,9886.0
Judge Dredd (1995),113492,9482.0
Jury Duty (1995),113500,19326.0
Kids (1995),113540,9344.0
Living in Oblivion (1995),113677,9071.0
Lord of Illusions (1995),113690,8973.0
Love & Human Remains (1993),107447,15730.0
Mad Love (1995),113729,47608.0
Mallrats (1995),113749,2293.0
Mighty Morphin Power Rangers: The Movie (1995),113820,9070.0
Mute Witness (1994),110604,48787.0
Nadja (1994),110620,34574.0
"Net, The (1995)",113957,1642.0
Nine Months (1995),113986,11472.0
Party Girl (1995),114095,36196.0
"Prophecy, The (1995)",114194,11980.0
Reckless (1995),114241,58372.0
Safe (1995),114323,32646.0
"Scarlet Letter, The (1995)",114345,10533.0
Showgirls (1995),114436,10802.0
Smoke (1995),114478,10149.0
Something to Talk About (1995),114496,18402.0
Species (1995),114508,9348.0
Strange Days (1995),114558,281.0
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",58450,5967.0
Three Wishes (1995),114663,47939.0
Total Eclipse (1995),114702,36834.0
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",114682,9090.0
Under Siege 2: Dark Territory (1995),114781,3512.0
Unstrung Heroes (1995),114798,52856.0
Unzipped (1995),114805,77350.0
"Walk in the Clouds, A (1995)",114887,9560.0
Waterworld (1995),114898,9804.0
White Man's Burden (1995),114928,31611.0
Wild Bill (1995),114938,65796.0
"Browning Version, The (1994)",109340,49805.0
Bushwhacked (1995),112602,26258.0
Burnt by the Sun (Utomlyonnye solntsem) (1994),111579,50797.0
Before the Rain (Pred dozhdot) (1994),110882,19155.0
Before Sunrise (1995),112471,76.0
Billy Madison (1995),112508,11017.0
"Babysitter, The (1995)",112438,37141.0
Boys on the Side (1995),112571,9382.0
"Cure, The (1995)",112757,6715.0
Castle Freak (1995),112643,18256.0
Circle of Friends (1995),112679,22625.0
Clerks (1994),109445,2292.0
Don Juan DeMarco (1995),112883,1909.0
Disclosure (1994),109635,8984.0
Drop Zone (1994),109676,4954.0
Destiny Turns on the Radio (1995),112854,62488.0
Death and the Maiden (1994),109579,10531.0
Dolores Claiborne (1995),109642,11929.0
Dumb & Dumber (Dumb and Dumber) (1994),109686,8467.0
Eat Drink Man Woman (Yin shi nan nu) (1994),111797,10451.0
Exotica (1994),109759,20156.0
Exit to Eden (1994),109758,18395.0
Ed Wood (1994),109707,522.0
French Kiss (1995),113117,397.0
Forget Paris (1995),113097,10525.0
Far From Home: The Adventures of Yellow Dog (1995),113028,27985.0
"Goofy Movie, A (1995)",113198,15789.0
Hideaway (1995),113303,27303.0
Fluke (1995),113089,21183.0
Farinelli: il castrato (1994),109771,10954.0
