title,rating,num of ratings
'71 (2014),4.0,1
'Hellboy': The Seeds of Creation (2004),4.0,1
'Round Midnight (1986),3.5,2
'Salem's Lot (2004),5.0,1
'Til There Was You (1997),4.0,2
'Tis the Season for Love (2015),1.5,1
"'burbs, The (1989)",3.176470588235294,17
'night Mother (1986),3.0,1
(500) Days of Summer (2009),3.6666666666666665,42
*batteries not included (1987),3.2857142857142856,7
...All the Marbles (1981),2.0,1
...And Justice for All (1979),3.1666666666666665,3
00 Schneider - Jagd auf Nihil Baxter (1994),4.5,1
1-900 (06) (1994),4.0,1
10 (1979),3.375,4
10 Cent Pistol (2015),1.25,2
10 Cloverfield Lane (2016),3.6785714285714284,14
10 Items or Less (2006),2.6666666666666665,3
10 Things I Hate About You (1999),3.5277777777777777,54
10 Years (2011),3.5,1
"10,000 BC (2008)",2.7058823529411766,17
100 Girls (2000),3.25,4
100 Streets (2016),2.5,1
101 Dalmatians (1996),3.074468085106383,47
101 Dalmatians (One Hundred and One Dalmatians) (1961),3.4318181818181817,44
101 Dalmatians II: Patch's London Adventure (2003),2.5,1
101 Reykjavik (101 Reykjavík) (2000),3.5,1
102 Dalmatians (2000),2.7777777777777777,9
10th & Wolf (2006),4.5,1
"10th Kingdom, The (2000)",2.75,2
"10th Victim, The (La decima vittima) (1965)",4.0,1
"11'09""01 - September 11 (2002)",4.0,2
11:14 (2003),3.75,4
"11th Hour, The (2007)",4.0,1
12 Angry Men (1957),4.149122807017544,57
12 Angry Men (1997),5.0,1
12 Chairs (1971),4.5,1
12 Chairs (1976),5.0,1
12 Rounds (2009),3.0,3
12 Years a Slave (2013),3.625,16
127 Hours (2010),3.8333333333333335,18
13 Assassins (Jûsan-nin no shikaku) (2010),4.0,4
13 Ghosts (1960),3.125,4
13 Going on 30 (2004),3.1904761904761907,21
13 Hours (2016),3.3,5
13 Sins (2014),3.5,1
13 Tzameti (2005),4.5,1
13th (2016),4.5,2
"13th Warrior, The (1999)",2.9038461538461537,26
1408 (2007),3.16,25
1492: Conquest of Paradise (1992),2.5,1
15 Minutes (2001),3.0,10
16 Blocks (2006),3.0,9
17 Again (2009),3.55,10
1776 (1972),3.5,2
18 Again! (1988),1.5,2
187 (One Eight Seven) (1997),2.6666666666666665,3
1900 (Novecento) (1976),4.5,1
1941 (1979),2.6666666666666665,3
1969 (1988),2.0,1
1984 (Nineteen Eighty-Four) (1984),3.7142857142857144,14
2 Days in New York (2012),2.5,1
2 Days in Paris (2007),3.5,1
2 Days in the Valley (1996),3.0416666666666665,12
"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",2.6052631578947367,19
2 Guns (2013),4.0,3
20 Dates (1998),3.0,7
20 Feet from Stardom (Twenty Feet from Stardom) (2013),4.25,2
20 Million Miles to Earth (1957),5.0,1
"20,000 Days on Earth (2014)",4.0,1
"20,000 Leagues Under the Sea (1916)",3.75,2
"20,000 Leagues Under the Sea (1954)",3.4705882352941178,17
200 Cigarettes (1999),3.1666666666666665,6
2001 Maniacs (2005),3.25,2
